cenario;arquivo_instancia;makespan_final;ddlb;razao_ms_ddlb;melhoria_ms;iteracoes;tempo_ga_ms
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_4.json;14373,22;14275,60;1,0068;13,89;3;0,53
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_5.json;14255,57;14126,60;1,0091;120,17;3;0,00
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_6.json;14121,49;13960,09;1,0116;22,07;2;0,00
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_7.json;14080,55;14031,34;1,0035;0,00;1;0,53
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_8.json;14332,07;14266,34;1,0046;201,13;3;0,00
LLHHHLL;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHHLL\LLHHHLL_9.json;14351,25;14265,64;1,0060;0,00;1;0,00
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_1.json;48814,83;48559,12;1,0053;169,01;35;23,04
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_10.json;48775,59;48481,22;1,0061;156,27;17;10,61
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_2.json;48558,46;48315,31;1,0050;158,32;53;33,49
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_3.json;48709,52;48475,51;1,0048;256,24;50;33,59
LLHHLHH;C:\Users\Herysson\Documents\Heuristica e Meta Heuristica\instancias\LLHHLHH\LLHHLHH_4.json;48632,00;48385,32;1,0051;332,03;60;34,37
